"Entity","FieldName","BusinessLabel","DataType","ControlType","LookupSource","Required","Precision/Scale","Unit","AllowFreeText","ActionTruthDependency","Notes"
"Measurement Profile","weightUomClass","Weight UOM class","string","Lookup","UOM Class","No","","","No","Save profile draft","Weight UOM class must be selected from UOM setup."
"Measurement Profile","precision","Precision","int","ErpNumberField","","No","","places","No","Save profile draft","Profile precision must use numeric controls."
"Work Center","departmentId","Department","int","Lookup","Department Master","No","","","No","Save work center","Resource department assignment must be controlled."
"Work Center","capacityUomId","Capacity UOM","int","Lookup","UOM Master","No","","","No","Save work center","Capacity unit must be selected from UOM setup."
"Work Center","parallelCapacityUnits","Parallel capacity units","int","ErpNumberField","","Yes","","units","No","Save work center","Capacity units must be numeric."
"Machine","workCenterId","Work center","int","Lookup","Work Center","Yes","","","No","Save machine","Machines must be assigned through work center lookup."
"Machine","machineType","Machine type","string","Lookup","Machine Type Master","No","","","No","Save machine","Machine type must not fall back to free text while setup is partial."
"Machine","capacityPerHour","Capacity per hour","decimal","ErpDecimalField","","Yes","18,3","per hour","No","Save machine","Machine capacity must use decimal controls."
"Tool","toolType","Tool type","string","Lookup","Tool Type List","Yes","","","No","Save tool/resource","Tool type must use a controlled selector."
"Tool","compatibleMachineGroup","Compatible machine group","string","Lookup","Machine Group","No","","","No","Save tool/resource","Compatibility must be selected from machine grouping when available."
"Price List","lineNo","Line number","int","ErpNumberField","","Yes","","line","No","Save price list","Price line numbers must use numeric controls."
"Price List","minQuantity","Minimum quantity","decimal","ErpDecimalField","","Yes","18,3","qty","No","Save price list","Price break minimum quantity must use decimal controls."
"Price List","unitPrice","Unit price","money","ErpMoneyField","Currency","Yes","18,2","currency","No","Save price list","Price amount must use money control."
"Discount Scheme","discountPercent","Discount percent","decimal","ErpDecimalField","","No","9,3","%","No","Save discount scheme","Discount percentage must use decimal controls."
"Discount Scheme","discountAmount","Discount amount","money","ErpMoneyField","Currency","No","18,2","currency","No","Save discount scheme","Discount amount must use money control."
"Currency","decimalPrecision","Decimal precision","int","ErpNumberField","","Yes","","places","No","Save commercial setup","Currency precision must use numeric control."
"Tax Category","defaultRatePercent","Default tax rate","decimal","ErpDecimalField","","Yes","9,3","%","No","Save commercial setup","Tax rates must use decimal controls."
"Payment Term","netDays","Net days","int","ErpNumberField","","Yes","","days","No","Save commercial setup","Payment days must use numeric controls."
"Company","timeZoneId","Timezone","string","Lookup","Timezone list","Yes","","","No","Save company draft","Company timezone must be selected from controlled setup values."
"Company","baseCurrencyCode","Base currency","string","Lookup","Currency Master","Yes","","","No","Save company draft","Company base currency must not be free text."
"Company","defaultCalendarCode","Calendar profile","string","Lookup","Calendar Profile","Yes","","","No","Save company draft","Company calendar must be selected from approved calendar profiles."
"Branch","branchType","Branch type","string","Lookup","Branch Type List","Yes","","","No","Save branch draft","Branch classification is a governed setup value."
"Branch","defaultWarehouseId","Default warehouse","int","Lookup","Warehouse Master","No","","","No","Save branch draft","Default warehouse remains disabled until approved warehouse source exists."
"Department","departmentType","Department type","string","Lookup","Department Type List","Yes","","","No","Save department draft","Department type must be controlled."
"Warehouse","warehouseType","Warehouse type","string","Lookup","Warehouse Type List","Yes","","","No","Save warehouse draft","Warehouse classification must be controlled."
"Bin","capacityValue","Capacity","decimal","ErpDecimalField","","No","18,3","capacity","No","Save bin draft","Bin capacity must use a decimal field."
"Bin","countCycleDays","Cycle-count days","int","ErpNumberField","","No","","days","No","Save bin draft","Cycle-count interval must use a numeric field."
"Bin","blockReasonCode","Block reason","string","Lookup","Bin Block Reason List","No","","","No","Save bin draft","Bin block reason must be controlled when blocked."
"Shift","breakMinutes","Break minutes","int","ErpNumberField","","Yes","","minutes","No","Save shift draft","Shift break duration must use numeric control."
"Shift","sequenceNo","Sequence","int","ErpNumberField","","Yes","","sequence","No","Save shift draft","Shift ordering must use numeric control."
"UOM Class","baseUomId","Base UOM","int","Lookup","UOM Master","No","","","No","Save class draft","MASTER-COMPLETION-CLUSTER-RUNNER-01 persisted class setup through measurement API."
"UOM Conversion","factorNumerator","Factor numerator","decimal","ErpDecimalField","","Yes","18,6","factor","No","Save conversion draft","MASTER-COMPLETION-CLUSTER-RUNNER-01 replaced review-only factor display with editable decimal control."
"UOM Conversion","factorDenominator","Factor denominator","decimal","ErpDecimalField","","Yes","18,6","factor","No","Save conversion draft","Denominator must be positive before save."
"Item Variant","overrideWeightPerUnit","Override weight per unit","decimal","ErpDecimalField","","No","18,3","stock UOM","No","Save variant draft","MASTER-COMPLETION-CLUSTER-RUNNER-01 wired variant save."
"Item Barcode","barcodeType","Barcode type","string","Lookup","Barcode type rules","Yes","","","No","Save barcode draft","MASTER-COMPLETION-CLUSTER-RUNNER-01 made barcode setup API-backed."
"Supplier Lead Time","leadTimeDays","Lead time days","int","ErpNumberField","","Yes","","days","No","Save lead-time row","MASTER-COMPLETION-CLUSTER-RUNNER-01 wired supplier lead-time save."
"Attachment","file","Uploaded file","binary","ErpFileActionState","Core attachment storage","Yes","","","No","Upload media/document","Saved item/customer/supplier files use shared attachment upload with metadata."
"Capacity Board","constraintSignal","Constraint signal","string","Lookup","Capacity constraint state","No","","","No","Review overloads","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 renders constraint signal as governed read-only selector."
"MRP Exception","exceptionType","Exception type","string","Lookup","MRP exception type rules","Yes","","","No","Open exception","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 exception detail uses governed selector."
"MRP Exception","severity","Severity","string","Lookup","MRP severity rules","Yes","","","No","Open exception","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 severity is not free text."
"MRP Exception","recommendedAction","Recommended action","string","Lookup","MRP action rules","No","","","No","Create shortage actions","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 recommended action is governed while conversion remains disabled."
"MRP Exception","grossRequirement","Gross requirement","decimal","ErpNumberField","","Yes","18,3","quantity","No","Open exception","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 renders quantity as numeric control."
"MRP Exception","availableQuantity","Available quantity","decimal","ErpNumberField","","Yes","18,3","quantity","No","Open exception","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 renders available quantity as numeric control."
"MRP Exception","netRequirement","Net requirement","decimal","ErpNumberField","","Yes","18,3","quantity","No","Open exception","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 renders net quantity as numeric control."
"Machine Board Slot","machine","Machine","string","Lookup","Machine schedule lane","Yes","","","No","Open machine card","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 slot detail uses governed machine field."
"Machine Board Slot","jobCard","Job card","string","Lookup","Job card schedule","Yes","","","No","Open job cards","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 slot detail uses governed job-card field."
"Inventory Balance","onHandQty","On hand","decimal","ErpNumberField","","Yes","18,3","quantity","No","Open traceability","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 inventory balance modal uses numeric stock controls."
"Inventory Balance","lotSerialLabel","Lot / serial","string","Lookup","Inventory traceability","No","","","No","Open traceability","Cluster 5 renders trace values as governed read-only selectors."
"Material Issue","quantity","Issue quantity","decimal","ErpNumberField","","Yes","18,3","quantity","No","Post issue","Cluster 5 removes unrestricted numeric text from issue detail."
"Material Return","quantity","Return quantity","decimal","ErpNumberField","","Yes","18,3","quantity","No","Post return","Cluster 5 removes unrestricted numeric text from return detail."
"Stock Transfer","quantity","Movement quantity","decimal","ErpNumberField","","Yes","18,3","quantity","No","Post transfer","Cluster 5 removes unrestricted numeric text from stock movement detail."
"Scrap Entry","quantity","Quantity","decimal","ErpNumberField","","Yes","18,3","quantity","No","Post scrap","Cluster 5 uses numeric control for scrap and by-product quantity."
"Rework Order","quantity","Quantity","decimal","ErpNumberField","","Yes","18,3","quantity","No","Release rework","Cluster 5 uses numeric control for rework quantity."
"Inspection","traceLabel","Trace","string","Lookup","Lot / Serial Traceability","No","","","No","Save inspection","Cluster 5 renders inspection trace as governed selector."
"NCR","disposition","Disposition","string","Lookup","Quality disposition rules","Yes","","","No","Release disposition","Cluster 5 renders disposition as governed selector."
"Pack List","packedQuantity","Packed quantity","decimal","ErpNumberField","","Yes","18,3","quantity","No","Save pack list","Cluster 5 uses numeric packed quantity control in pack detail."
"Shipment","shippedQuantity","Shipped quantity","decimal","ErpNumberField","","Yes","18,3","quantity","No","Save shipment","Cluster 5 uses numeric shipped quantity control in shipment detail."
"Shipment","proofFile","Load proof","binary","ErpFileActionState","Core attachment storage","No","","","No","Load proof","Cluster 5 shipment proof upload uses shared attachment storage for live records."
"Mobile Offline Queue","actionLabel","Queued action","string","MobileButton","Mobile action vocabulary","Yes","","","No","Queue mobile action","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 6 transactional mobile buttons produce visible queued/review state."
"Mobile Inventory Movement","quantity","Count quantity","decimal","TextInput numeric keyboard","","Yes","18,3","quantity","No","Queue count","Cluster 6 prevents unrestricted text keyboard for count quantity."
"Mobile Media Upload","captureType","Capture type","string","Badge / disabled native capture action","Mobile capture type vocabulary","Yes","","","No","Queue media / Retry proof upload","Cluster 6 keeps photo/voice/attachment capture truthful with queue or disabled native-adapter reason."
"Mobile Context","branchId","Operating branch","int","Context selection card","Available mobile contexts","Yes","","","No","Switch context","Cluster 6 context switching uses governed context options."
"Cycle Count","warehouseId","Warehouse","int","ErpLookupField","Warehouse/bin count generation rules","Yes","","","No","Save count sheet","WS06 count sheet workspace keeps warehouse governed and read-only from generation rules."
"Cycle Count","countDate","Count date","date","Date input","","Yes","","","No","Save count sheet","WS06 uses date control instead of unrestricted text."
"Cycle Count","countType","Count type","string","ErpLookupField","Cycle count type options","Yes","","","No","Save count sheet","WS06 uses governed selector for count type."
"Cycle Count Line","countedQuantity","Counted quantity","decimal","ErpDecimalField","","Yes","18,3","quantity","No","Save count sheet","WS06 allows live decimal entry for counted quantity."
"Inspection","decisionNotes","Decision notes","string","Text input","","No","","","Yes","Apply hold / Release hold","Narrative decision notes are enabled only in live quality sessions."
"NCR","closeRemarks","Close remarks","string","Text input","","No","","","Yes","Close NCR","Narrative close remarks are enabled only in live quality sessions."
"Shipment","status","Shipment status","string","ErpLookupField","Shipment status options","Yes","","","No","Save proof status","WS06 proof workspace uses governed shipment status selector."
"Shipment","loadedOn","Loaded on","datetime","Datetime-local input","","No","","","No","Save proof status","WS06 uses datetime control for loaded timestamp."
"Shipment","deliveredOn","Delivered on","datetime","Datetime-local input","","No","","","No","Save proof status","WS06 uses datetime control for delivered timestamp."
"Shipment","proofNotes","Proof notes","string","Text input","","No","","","Yes","Save proof status","Operational proof notes are narrative and disabled without a live shipment."
"IntegrationProvider","providerType","Provider type","string","ErpLookupField","Provider type options","Yes","","","No","Save provider","WS07 provider workspace uses governed provider type selector."
"IntegrationProvider","status","Provider status","string","ErpLookupField","Integration status options","Yes","","","No","Save provider","WS07 provider workspace uses governed status selector."
"WebhookSubscription","eventType","Event type","string","ErpLookupField","Webhook event options","Yes","","","No","Save webhook","WS07 webhook workspace uses governed event selector."
"WebhookSubscription","status","Webhook status","string","ErpLookupField","Integration status options","Yes","","","No","Save webhook","WS07 webhook workspace uses governed status selector."
"ImportJob","module","Import module","string","ErpLookupField","Import/export module options","Yes","","","No","Queue import","WS07 import queue workspace uses governed module selector."
"ImportJob","sourceFormat","Source format","string","ErpLookupField","Import format options","Yes","","","No","Queue import","WS07 import queue workspace uses governed source format selector."
"ImportJob","failedRowCount","Failed rows","int","ErpNumberField","","No","0","","No","Save import status","WS07 status workspace uses numeric failed row count."
"ExportJob","module","Export module","string","ErpLookupField","Import/export module options","Yes","","","No","Queue export","WS07 export workspace uses governed module selector."
"ExportJob","outputFormat","Output format","string","ErpLookupField","Export format options","Yes","","","No","Queue export","WS07 export workspace uses governed output format selector."
"OutboundMessage","channelType","Channel","string","ErpLookupField","Outbound channel options","Yes","","","No","Preview message","WS07 delivery log uses governed channel selector."
"OutboundMessage","attemptCount","Attempt count","int","ErpNumberField","","No","0","","No","Delivery worker","WS07 delivery log renders attempt counts as numeric read-only values."
"AiRun","aiProviderId","AI provider","int","ErpLookupField","AI provider registry","Yes","","","No","Generate draft","WS07 assistant uses governed AI provider selector."
"AiRun","aiModelId","AI model","int","ErpLookupField","AI model registry","Yes","","","No","Generate draft","WS07 assistant uses governed AI model selector."
"AiAssistant","intentCode","Intent","string","ErpLookupField","AI assistant intent catalog","Yes","","","No","Prepare governed plan","WS07 assistant uses governed intent selector."
"TranslationDraft","targetLanguageCode","Target language","string","ErpLookupField","Language options","Yes","","","No","Generate translation draft","WS07 translation assistant uses governed language selector."
"ReportParameter","dateFrom","Date from","date","Date input","","Yes","","","No","Run report","Pack 07 report catalog passes date parameters to persisted report runs."
"ReportParameter","outputFormat","Output format","lookup","ErpLookupField","Registered report output formats","Yes","","","No","Run report","Pack 07 report catalog and print pack use governed output format selectors."
"ReportOutput","downloadCount","Download count","int","ErpNumberField","","No","0","downloads","No","Download","Pack 07 generated output history renders download count as API-generated numeric data."
"DashboardWidget","refreshMinutes","Refresh minutes","int","ErpNumberField","","No","0","minutes","No","Save dashboard","Pack 07 dashboard widgets persist refresh cadence through reporting dashboard APIs."
"FinanceExcluded","chartOfAccounts","Chart of accounts","out-of-scope","Hidden","","No","","","No","Finance navigation hidden","WS08 blocked by V1 exclusion for full accounting and GL."
"FinanceExcluded","journalEntry","Journal entry debit credit","out-of-scope","Hidden","","No","","","No","Finance navigation hidden","WS08 blocked by V1 exclusion for journal create/post/reverse."
"FinanceExcluded","apInvoice","Accounts payable invoice","out-of-scope","Hidden","","No","","","No","Finance navigation hidden","WS08 blocked by V1 exclusion for AP."
"FinanceExcluded","arInvoice","Accounts receivable invoice","out-of-scope","Hidden","","No","","","No","Finance navigation hidden","WS08 blocked by V1 exclusion for AR."
"FinanceExcluded","bankReconciliation","Bank reconciliation","out-of-scope","Hidden","","No","","","No","Finance navigation hidden","WS08 blocked by V1 exclusion for bank reconciliation."
"PurchaseRequisition","itemId","Item","lookup","ErpLookupField","/api/items/lookup","Yes","","","No","Save requisition","WS09 governed PR line item selector."
"PurchaseRequisition","orderUomId","Order UOM","lookup","ErpLookupField","/api/uoms","Yes","","","No","Save requisition","WS09 governed PR UOM selector."
"PurchaseRequisition","requiredQuantity","Required quantity","decimal","ErpDecimalField","","Yes","18,3","Order UOM","No","Save requisition","WS09 numeric quantity control."
"PurchaseRequisition","needByDate","Need by","date","Date input","","Yes","","","No","Save requisition","WS09 date control."
"PurchaseOrder","supplierId","Supplier","lookup","ErpLookupField","/api/suppliers","Yes","","","No","Save purchase order","WS09 governed supplier selector."
"PurchaseOrder","itemId","Item","lookup","ErpLookupField","/api/items/lookup","Yes","","","No","Save purchase order","WS09 governed PO line item selector."
"PurchaseOrder","orderUomId","Order UOM","lookup","ErpLookupField","/api/uoms","Yes","","","No","Save purchase order","WS09 governed PO UOM selector."
"PurchaseOrder","orderedQuantity","Ordered quantity","decimal","ErpDecimalField","","Yes","18,3","Order UOM","No","Save purchase order","WS09 numeric PO quantity control."
"PurchaseOrder","expectedReceiptDate","Expected receipt","date","Date input","","No","","","No","Save purchase order","WS09 date control."
"SubcontractOrder","supplierId","Supplier","lookup","ErpLookupField","/api/suppliers","Yes","","","No","Save outside plan","WS09 governed subcontract supplier selector."
"SubcontractOrder","workOrderId","Work order","lookup","ErpLookupField","/api/work-orders","No","","","No","Save outside plan","WS09 governed work order selector."
"SubcontractOrder","operationId","Operation","lookup","ErpLookupField","/api/operations","No","","","No","Save outside plan","WS09 governed operation selector."
"SubcontractOrder","expectedReturnDate","Expected return","date","Date input","","No","","","No","Save outside plan","WS09 date control."
"SubcontractReceipt","subcontractOrderId","Subcontract order","lookup","ErpLookupField","/api/subcontract-orders","Yes","","","No","Receive back","P0/P1 continuation receive-back receipt selector."
"SubcontractReceipt","receivedQuantity","Received quantity","decimal","ErpDecimalField","","Yes","18,6","Order UOM","No","Receive back","P0/P1 continuation numeric receive-back quantity."
"SubcontractReceipt","qcResult/status","QC result and receipt status","lookup","ErpLookupField","QC result/status lists","Yes","","","No","Receive back","P0/P1 continuation governed receipt state controls."
"StockReservation","stockBalanceId","Stock balance","lookup","Selected live stock row","Yes","","","No","Reserve stock","Reservation inherits governed item/warehouse/bin/lot context from selected stock.",""
"StockReservation","reservedQuantity","Reserved quantity","decimal","ErpDecimalField","","Yes","18,6","Stock UOM","No","Reserve stock","P0/P1 continuation numeric reservation quantity."
"InspectionCapture","qcPlanId/source/result/status","Inspection governed controls","lookup","QC plan/source/result/status lists","Yes","","","No","Save inspection","P0/P1 continuation governed inspection capture controls.",""
"InspectionCapture","observedValue","Observed value","decimal","ErpDecimalField","","No","18,6","Parameter unit","No","Save inspection","P0/P1 continuation numeric inspection parameter observations."
"InspectionPlanCharacteristic","parameterCode/parameterName/type","QC plan characteristic","mixed","Lookup/Text","Characteristic type list","Yes","","","No","Save QC plan","QUALITY-NCR-COA-COMPLETION-PACK-04 persists plan characteristic rows with controlled type and required code/name."
"InspectionPlanCharacteristic","lowerLimit/upperLimit/sampleSize","Characteristic limits and sample","decimal/int","ErpNumberField","","No","18,6","","No","Save QC plan","Numeric limits and sample size are typed controls."
"NonConformanceLine","itemId/itemRevisionId/lotId/serialId/uomId","NCR affected trace","lookup","Item / revision / lot / serial / UOM sources","No","","","No","Save NCR / Release disposition","QUALITY-NCR-COA-COMPLETION-PACK-04 persists affected-line trace references; release requires affected quantity."
"NonConformanceLine","affectedQuantity","Affected quantity","decimal","ErpNumberField","","Yes for release","18,6","UOM","No","Release disposition","Affected quantity must be positive before disposition release."
"NonConformance","containment/rootCause/corrective/preventive","NCR CAPA fields","string","Text input","","No","","","Yes","Save NCR / Release disposition","Narrative CAPA fields persist and are audited through NCR service."
"CoaCertificate","coaNo/templateCode/inspectionRecordId","COA generation controls","mixed","Text/Lookup/ErpNumberField","COA template list / Final inspection evidence","Yes","","","No","Generate COA","QUALITY-NCR-COA-COMPLETION-PACK-04 stores versioned certificate metadata from final inspection evidence."
"CoaCertificateLine","parameterCode/expected/actual/result","COA evidence line","mixed","Snapshot","Final inspection result lines","Yes","","","No","Generate COA","Certificate evidence lines are copied from approved final inspection results."
"BlanketOrderSchedule","itemId/uomId","Blanket item and UOM","lookup","Item and UOM masters","Yes","","","No","Save blanket order","P0/P1 continuation governed blanket schedule line controls.",""
"BlanketOrderSchedule","quantity/needByDate","Schedule quantity and date","decimal/date","ErpDecimalField + Date input","","Yes","18,6","Order UOM","No","Save blanket order","P0/P1 continuation schedule authoring controls."
"DemandForecastLine","itemId/uomId","Forecast item and UOM","lookup","Item and UOM masters","Yes","","","No","Save forecast","P0/P1 continuation governed forecast line controls.",""
"DemandForecastLine","quantity/period dates","Forecast quantity and period","decimal/date","ErpDecimalField + Date input","","Yes","18,6","Forecast UOM","No","Save forecast","P0/P1 continuation forecast line authoring controls."
"IntegrationConnection","provider/status","Provider and status","lookup","Integration provider/status lists","Yes","","","No","Save connection","P0/P1 continuation governed connection maintenance controls.",""
"IntegrationConnection","credentialReference","Credential reference","string","Text","External secret store reference","No","","","Yes","Save connection","Stores secret reference only; live provider health surfaces missing configuration."
"ServiceTicket","customerId/itemId/serialNo/status","Service ticket governed fields","not introduced","Not exposed","N/A","No","","","No","HIDDEN","WS10 blocked by V1 field-service/customer-support exclusion; no free-text scaffold introduced."
"WarrantyEntitlement","serialNo/customerId/itemId/expiryDate","Warranty governed fields","not introduced","Not exposed","N/A","No","","","No","HIDDEN","WS10 blocked by V1 warranty exclusion."
"AmcContract","customerId/contractAmount/startDate/endDate","AMC governed and numeric fields","not introduced","Not exposed","N/A","No","","","No","HIDDEN","WS10 blocked by V1 service/warranty/AMC exclusion."
"RmaRequest","customerId/itemId/serialNo/reason/status","RMA governed fields","not introduced","Not exposed","N/A","No","","","No","HIDDEN","WS10 blocked by V1 customer-support exclusion."
"ReleaseSmokeResult","route/elapsedMs/status","Release smoke timing result","object/json","Generated evidence","scripts/ws11-release-smoke.mjs","Yes","","milliseconds","No","WS11 performance smoke","Executable release evidence artifact; not a user-editable ERP entity."
"Item","packagingUomId","Packaging UOM","int","Lookup","UOM Master","No","","","No","Save item draft","ERP-COMPLETION-PACKS-V1 preserves governed packaging UOM ID."
"Item","netWeight","Net weight","decimal","Decimal","Measurement Profile","No","18,6","Weight UOM","No","Save item draft","Verified numeric/decimal control."
"Item","grossWeight","Gross weight","decimal","Decimal","Measurement Profile","No","18,6","Weight UOM","No","Save item draft","Verified numeric/decimal control."
"Customer","creditLimitAmount","Credit limit","decimal","Number","Currency","No","18,2","Currency","No","Save customer draft","Added governed numeric control in customer workspace."
"Customer","priceList","Price list","int","Lookup","Price List","No","","","No","Customer commercial assignment","Disabled with reason on Customer Master; assignment maintained from Price Lists."
"Customer","discountScheme","Discount scheme","int","Lookup","Discount Scheme","No","","","No","Customer commercial assignment","Disabled with reason on Customer Master; assignment maintained from Discount Schemes."
"Customer","salesperson","Salesperson","int","Lookup","Sales user source","No","","","No","Customer commercial assignment","Disabled with reason until approved sales user source is available."
"Supplier","defaultBranch","Default branch","int","Lookup","Branch","Yes","","","No","Save supplier draft","Disabled with context reason; branch follows signed-in operating context."
"Quote","lines","Quote lines","collection","Grid","Item/UOM/Tax","Yes","","","No","Save quote draft","Supports add/remove/edit/save/reopen of multiline quote rows."
"QuoteLine","unitPrice","Unit price","decimal","Money","Currency","No","18,4","Currency","No","Save quote draft","Verified money control."
"QuoteLine","discountPercent","Discount %","decimal","Decimal","Discount Scheme","No","9,4","Percent","No","Save quote draft","Verified decimal control."
"QuoteLine","taxPercent","Tax %","decimal","Decimal","Tax Code","No","9,4","Percent","No","Save quote draft","Verified decimal control."
"RequestForQuotation","rfqNo","RFQ number","string","Text","","Yes","","","Yes","Save RFQ","Identifier is business/system-entered text."
"RequestForQuotation","status","RFQ status","string","Lookup","RFQ status list","Yes","","","No","Save RFQ / Send RFQ","Controlled RFQ lifecycle value."
"RequestForQuotation","currencyCode","Currency","string","Lookup","Currency master","Yes","","","No","Save RFQ","Defaults to INR and remains governed."
"RequestForQuotationSupplier","supplierId","Supplier","int","Lookup","Supplier master","Yes","","","No","Save RFQ","RFQ invite list uses governed supplier selector."
"RequestForQuotationLine","itemId","Item","int","Lookup","Item master","Yes","","","No","Save RFQ","RFQ line item must be governed."
"RequestForQuotationLine","orderUomId","Order UOM","int","Lookup","UOM master","Yes","","","No","Save RFQ","RFQ line UOM must be governed."
"RequestForQuotationLine","requestedQuantity","Requested quantity","decimal","Decimal","","Yes","18,6","Order UOM","No","Save RFQ","RFQ line quantity uses ErpDecimalField."
"RequestForQuotationLine","requiredDate","Required date","date","Date","","No","","","No","Save RFQ","Line due date uses date control."
"SupplierQuotation","requestForQuotationId","RFQ","int","Lookup","Request for quotation","Yes","","","No","Save supplier quote","Supplier quote is governed by RFQ selector."
"SupplierQuotation","supplierId","Supplier","int","Lookup","Supplier master","Yes","","","No","Save supplier quote","Supplier quotation supplier must be governed."
"SupplierQuotation","status","Supplier quote status","string","Lookup","Supplier quotation status list","Yes","","","No","Save supplier quote / Select supplier","Controlled supplier quotation lifecycle value."
"SupplierQuotationLine","offeredQuantity","Offered quantity","decimal","Decimal","","Yes","18,6","Order UOM","No","Save supplier quote","Supplier quote line quantity uses ErpDecimalField."
"SupplierQuotationLine","unitPrice","Unit price","decimal","Money","Currency","Yes","18,4","Currency","No","Save supplier quote","Supplier quote line price uses ErpMoneyField."
"SupplierQuotationLine","discountPercent","Discount %","decimal","Decimal","Discount Scheme","No","9,4","Percent","No","Save supplier quote","Supplier quote line discount uses ErpDecimalField."
"SupplierQuotationLine","taxPercent","Tax %","decimal","Decimal","Tax Code","No","9,4","Percent","No","Save supplier quote","Supplier quote line tax uses ErpDecimalField."
"SupplierQuotationLine","leadTimeDays","Lead time days","int","Number","","No","","Days","No","Save supplier quote","Supplier quote lead time uses ErpNumberField."
"QuoteComparison","selectionReason","Selection reason","string","Text","","Yes","","","Yes","Select supplier","Free-form business justification is required before selection."
"WorkOrder","itemId","Production item","long","Lookup","Item master","Yes","","","No","Save work order","Production pack uses ErpLookupField."
"WorkOrder","bomRevisionId","BOM revision","long","Lookup","Released/approved BOM revisions","Yes","","","No","Save/release work order","Release readiness enforces approved/released engineering source."
"WorkOrder","plannedQuantity","Planned quantity","decimal","Decimal","","Yes","18,6","Production UOM","No","Save work order","Rendered as ErpDecimalField and API validates positive quantity."
"StockIssue","sourceDocumentId","Source document id","long","Number","Work order/job card context","Conditional","","","No","Post issue","Deep links now prefill numeric source id for work-order material postings."
"ProductionReceipt","workOrderId","Work order id","long","Number","Work order context","Conditional","","","No","Post receipt","Deep links now prefill numeric work-order id for production output postings."
StockTransaction,lotId,Lot,long,Lookup,inventory.Lots,No,,,No,Post issue/return/transfer,Line grid uses governed lot selector from live balances.
StockTransaction,serialId,Serial,long,Lookup,inventory.Serials,No,,,No,Post issue/return/transfer,Line grid uses governed serial selector from live balances.
StockTransaction,licensePlateId,License plate / PCID,long,Lookup,Future LP/PCID containment ledger,No,,,No,Post issue/return/transfer,Disabled with reason until LP ledger exists; no free text.
CycleCountLine,itemId,Item,long,Lookup,Item master,Yes,,,No,Save count sheet,Compact count grid uses governed item selector.
CycleCountLine,binId,Bin,long,Lookup,Bin master,No,,,No,Save count sheet,Compact count grid uses governed bin selector.
CycleCountLine,countedQuantity,Counted quantity,decimal,Decimal,,Yes,"18,6",Stock UOM,No,Save/post count sheet,Rendered through ErpDecimalField and saved across all lines.
CycleCountLine,varianceQuantity,Variance quantity,decimal,Decimal,,Yes,"18,6",Stock UOM,No,Post count sheet,Calculated from counted minus system quantity.
