"Route","Field","ViolationType","Severity","FixApplied","RemainingDependency"
"/planning/mrp-results","Gross available and net quantity","numeric as text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 renders exception quantities as disabled numeric fields","Conversion proof workflow remains partial"
"/production/machine-board","Machine card schedule job fields","free text instead of lookup","Medium","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 opens schedule slots in centered modal workspace with governed machine/job/time selectors","Auto-assignment rule workflow remains partial"
"/production/machine-board","Today quick action","dead action","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 wires Today to reset the board date range and slot drilldown to job cards","Auto-assignment remains disabled with reason"
"/production/occupancy","Next 7 days quick action","dead action","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 wires Next 7 days to update the occupancy calendar range","Assignment review workflow remains disabled with reason"
"/dashboards/order-delivery","Delivery drill actions","dead action","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 wires sales order BOQ and machine-board drill actions and keeps export disabled with reason","Delivery export/reporting workflow remains partial"
"/dashboards/stage-wise","Refresh export and machine board actions","dead action","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 4 wires refresh and machine-board navigation and disables export with reason","Stage export/reporting workflow remains partial"
"/inventory/balances","On hand reserved available quantities","numeric as text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 renders stock quantities as disabled ErpNumberField controls","Inventory posting workflow remains source of truth"
"/inventory/balances","Warehouse bin lot catch-weight values","free text instead of lookup","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 renders inventory location and trace fields as governed selectors","Inventory location/trace posting lifecycle remains partial"
"/inventory/material-issue","Issue quantity source location and issue mode","numeric/governed controls","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 uses ErpNumberField for issue quantity and governed selectors for source/location/mode","Issue posting workflow remains disabled with reason"
"/inventory/material-return","Return quantity location and reason","numeric/governed controls","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 uses ErpNumberField for return quantity and governed selectors for source/location/reason","Return posting workflow remains disabled with reason"
"/inventory/stock-transfer","Movement quantity and locations","numeric/governed controls","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 uses ErpNumberField for movement quantity and governed source/destination controls","Transfer posting workflow remains disabled with reason"
"/production/scrap-by-products","Scrap/by-product quantity reason state valuation","numeric/governed controls","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 renders quantity as ErpNumberField and reason/state/valuation as governed selectors","Posting and costing workflows remain disabled with reason"
"/production/rework-orders","Rework quantity source and route","numeric/governed controls","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 renders quantity as ErpNumberField and source/route as governed selectors","Rework release workflow remains disabled with reason"
"/quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections","Inspection source and trace","free text instead of lookup","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 renders inspection source and trace as governed selectors; WS06 wires live hold/release decisions","Inspection result entry remains disabled with reason"
"/quality/ncr","Disposition and rework link","free text instead of lookup","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 renders NCR disposition and rework link as governed selectors","Disposition release workflow remains disabled with reason"
"/dispatch/pack-lists","Packed quantity and status","numeric/governed controls","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 renders packed quantity as ErpNumberField and pack status as governed selector","Pack posting workflow remains disabled with reason"
"/dispatch/shipments","Shipped quantity pack vehicle and proof","numeric/governed/upload controls","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 5 renders shipped quantity as ErpNumberField, pack/vehicle as governed selectors, and proof upload through shared attachment storage; WS06 wires live proof status save","Shipment close approval remains disabled with reason"
"/production/work-orders; /production/job-cards; /production/shift-production; /production/downtime","Production deep workspaces and drill actions","dead action/layout violation","High","WS05 wires job-card start/resume/pause/quantity/complete execution actions through existing live APIs, adds governed reason selectors and decimal quantity controls, and keeps invalid/demo states disabled with reasons in centered modals","Work-order generation/release and shift summary submission remain disabled with explicit workflow reasons"
"mobile:execute; mobile:stock","Quantity/count inputs","numeric as text","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 6 keeps quantity presets read-only and sets count quantity to numeric keyboard input","Native barcode/count scanner adapter remains outside current shell"
"mobile:inbox; mobile:jobs; mobile:execute; mobile:materials; mobile:stock; mobile:machine; mobile:quality; mobile:output; mobile:dispatch; mobile:handover; mobile:device","Mobile action buttons","dead action","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 6 wires transactional mobile actions to visible queue/review state or disables native capture with reason","Server sync/native capture adapters remain partial"
"mobile:dispatch; mobile:handover; mobile:device","Photo voice attachment capture","upload action not truthful","High","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 6 wires retry/queue actions for existing media and disables native camera capture until device adapter permission exists","Native camera/voice/file SDK integration remains external to this React Native shell"
"mobile:*","Production-facing wording","internal wording leak","Medium","MASTER-COMPLETION-CLUSTER-RUNNER-01 Cluster 6 removes demo/prompt IDs and placeholder wording from mobile-facing screens","None in touched mobile screens"
"/platform/runtime-uat","Role focus and Status filters","governed selector enforcement","Medium","WS01 uses ErpLookupField controls for role and status filters instead of unrestricted text","No touched governed filter violation remains"
"/platform/runtime-uat","Evidence table and detail modal","action/data truth","High","WS01 runs live probes, shows pass/partial/fail evidence, and disables route-opening actions with a visible reason when no workspace exists","Underlying domain workflow-depth gaps remain tracked outside WS01"
"/inventory/cycle-counts","Count sheet warehouse date status and quantities","numeric/governed/date controls","High","WS06 renders warehouse as governed lookup, count date as date input, count type/status as lookup controls, and counted/system quantities as decimal controls","No touched cycle-count field violation remains"
"/quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections","Inspection source trace and hold/release notes","governed/action truth","High","WS06 keeps source and trace as governed lookups and wires hold/release with decision notes in centered modal workspace","Inspection result entry remains disabled with reason"
"/quality/ncr","NCR disposition rework link and close remarks","governed/action truth","High","WS06 keeps disposition/rework as governed lookups and wires live NCR close with business remarks","Disposition release remains disabled with reason"
"/dispatch/shipments","Shipment pack status quantities timestamps and proof upload","numeric/governed/date/upload controls","High","WS06 renders pack list as governed lookup, shipped quantity as numeric, shipment status as lookup, loaded/delivered timestamps as datetime controls, and proof upload through shared attachment storage","Shipment close approval remains disabled with reason"
"/inventory/balances; /inventory/traceability; /inventory/material-issue; /inventory/material-return; /inventory/stock-transfer; /quality/*; /dispatch/*","Live source badge and seeded data truth","seeded/live data issue","High","WS06 touched pages now derive source labels from live session state and do not silently label failed live loads as seeded operational data","Backend workflow depth still controls which live rows are available"
