"ScreenId","ScreenName","Route","FilePath","Domain","Platform","PrimaryRoles","CurrentStatus","DataStatus","BackendStatus","DbStatus","MajorGaps","RequiredReworkLevel","Priority","SuggestedImplementationWave","AcceptanceGate"
"W114","Executive Cockpit / Owner Dashboard","/dashboards/executive-cockpit","src/web/src/pages/DashboardPages.tsx","Dashboards","Web","ManagementViewer","SHALLOW","PARTIAL","LIVE API BACKED","PARTIAL","Single-screen truth needs real trend drilldowns and filters","DEEP","HIGH","Wave 5","Owner dashboard uses live operational KPIs"
"W115","Audit Trail Viewer","/platform/audit","MISSING","Platform","Web","CompanyAdmin; PlatformAdmin","MISSING","UNKNOWN","BLOCKED BY BACKEND","PARTIAL","No first-class audit search/viewer for entity changes","REBUILD","CRITICAL","Wave 2","Admins can trace changes without database access"
"M001","Mobile Login","mobile:login","src/mobile/src/screens/LoginScreen.tsx","Platform","Mobile","All users","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Default demo credentials and no production device binding","REBUILD","CRITICAL","Wave 9","Mobile login is secure with device/session state"
"M002","Company / Branch Select","mobile:context","src/mobile/src/screens/ContextSwitchScreen.tsx","Platform","Mobile","All users","SHALLOW","FALLBACK","PARTIAL API BACKED","PARTIAL","Needs live org context and queued-action guard","DEEP","HIGH","Wave 9","Context is validated before tasks load"
"M003","My Dashboard","mobile:home","src/mobile/src/screens/HomeDashboardScreen.tsx","Dashboards","Mobile","All users","DEMO-LIKE","DEMO","ADAPTER / FALLBACK BACKED","PARTIAL","Seeded role navigation and shallow task summary","DEEP","HIGH","Wave 9","Dashboard shows live assigned work and queue health"
"M004","Notifications / Inbox","mobile:inbox","src/mobile/src/screens/NotificationsApprovalsScreen.tsx","Platform","Mobile","All users","SHALLOW","FALLBACK","PARTIAL API BACKED","PARTIAL","Read/sync and source drilldowns need depth","MEDIUM","MEDIUM","Wave 9","Inbox syncs and links to source records"
"M005","My Approvals","mobile:approvals","src/mobile/src/screens/NotificationsApprovalsScreen.tsx","Platform","Mobile","Managers","SHALLOW","FALLBACK","PARTIAL API BACKED","PARTIAL","Decision queue conflict handling and audit are shallow","DEEP","HIGH","Wave 9","Approval decisions sync with audit"
"M006","My Job Cards Queue","mobile:jobs","src/mobile/src/screens/JobCardsScreen.tsx","Production","Mobile","MachineOperator; ProductionSupervisor","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Live assignment and stale queue handling missing","DEEP","CRITICAL","Wave 9","Operator sees only current assigned jobs"
"M007","Job Card Detail","mobile:jobs","src/mobile/src/screens/JobCardsScreen.tsx","Production","Mobile","MachineOperator; ProductionSupervisor","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Operation specs attachments and readiness depth missing","DEEP","CRITICAL","Wave 9","Job detail provides enough execution context"
"M008","Execution Action Sheet","mobile:execute","src/mobile/src/screens/ExecutionCaptureScreen.tsx","Production","Mobile","MachineOperator","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Idempotent start pause complete sync and conflict rules missing","REBUILD","CRITICAL","Wave 9","Actions post once and reconcile with server"
"M009","Good / Reject / Scrap Entry","mobile:output","src/mobile/src/screens/ProductionReceiptReworkScreen.tsx","Production","Mobile","MachineOperator; QCInspector","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Qty validation proof and scrap/rework linkage incomplete","REBUILD","CRITICAL","Wave 9","Quantities reconcile with job card and QC"
"M010","Material Issue Scan","mobile:materials","src/mobile/src/screens/MaterialScanScreen.tsx","Inventory","Mobile","StoreKeeper; ProductionSupervisor","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Scanner validation against live stock and reservations missing","REBUILD","CRITICAL","Wave 9","Wrong item bin lot scan is rejected"
"M011","Material Return Scan","mobile:materials","src/mobile/src/screens/MaterialScanScreen.tsx","Inventory","Mobile","StoreKeeper; ProductionSupervisor","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Return reconciliation with original issue missing","DEEP","HIGH","Wave 9","Return cannot exceed issued unused qty"
"M012","Bin Transfer / Putaway","mobile:stock","src/mobile/src/screens/InventoryMovementScreen.tsx","Inventory","Mobile","StoreKeeper","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Live bin policy and sync conflict handling missing","DEEP","HIGH","Wave 9","Transfer posts with source/destination validation"
"M013","Cycle Count","mobile:stock","src/mobile/src/screens/InventoryMovementScreen.tsx","Inventory","Mobile","StoreKeeper","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Count freeze variance and recount lifecycle missing","DEEP","HIGH","Wave 9","Cycle count syncs variance for approval"
"M014","Downtime Log","mobile:machine","src/mobile/src/screens/MachineDowntimeScreen.tsx","Production","Mobile","MachineOperator; ProductionSupervisor","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Live machine assignment and overlap validation missing","DEEP","HIGH","Wave 9","Downtime updates machine timeline"
"M015","Machine Status Update","mobile:machine","src/mobile/src/screens/MachineDowntimeScreen.tsx","Production","Mobile","ProductionSupervisor","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Machine status changes and operator assignment not deep","DEEP","HIGH","Wave 9","Machine state changes are authorized and synced"
"M016","QC Checkpoint Entry","mobile:quality","src/mobile/src/screens/QualityCaptureScreen.tsx","Quality","Mobile","QCInspector; ProductionSupervisor","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Plan-driven parameters media and hold/release missing","REBUILD","CRITICAL","Wave 9","QC cannot close with missing required checks"
"M017","Production Receipt","mobile:output","src/mobile/src/screens/ProductionReceiptReworkScreen.tsx","Production","Mobile","ProductionSupervisor; StoreKeeper","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Irreversible receipt needs server validation lot serial catch-weight","REBUILD","CRITICAL","Wave 9","Receipt posts only after server validates source and tracking"
"M018","Rework / NCR Capture","mobile:quality","src/mobile/src/screens/QualityCaptureScreen.tsx","Quality","Mobile","QCInspector; ProductionSupervisor","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","NCR disposition rework linkage and proof incomplete","REBUILD","CRITICAL","Wave 9","NCR/rework capture links to source and audit"
"M019","Dispatch Loading / Proof","mobile:dispatch","src/mobile/src/screens/DispatchProofScreen.tsx","Dispatch","Mobile","DispatchManager","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Shipment tasking scan proof and media sync incomplete","DEEP","HIGH","Wave 9","Proof links to shipment and scanned packs"
"M020","Order Snapshot","mobile:home","src/mobile/src/screens/HomeDashboardScreen.tsx","Dashboards","Mobile","ManagementViewer; SalesCoordinator","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Mobile order health is not live drilldown capable","MEDIUM","MEDIUM","Wave 9","Order snapshot uses live risk data"
"M021","Stage Wise Mobile Board","mobile:orders","src/mobile/src/screens/OrderStageBoardScreen.tsx","Dashboards","Mobile","PlantHead; ManagementViewer","DEMO-LIKE","DEMO","PARTIAL API BACKED","PARTIAL","Stage blockers and owner drilldown are shallow","MEDIUM","MEDIUM","Wave 9","Board shows live stage blockers"
"M022","Shift Handover / Notes / Photos","mobile:handover","src/mobile/src/screens/ShiftHandoverMediaScreen.tsx","Production","Mobile","ProductionSupervisor","DEMO-LIKE","DEMO","ADAPTER / FALLBACK BACKED","PARTIAL","Media upload and handover sync are not production-hardened","DEEP","HIGH","Wave 9","Handover syncs notes media and blockers"
"M023","Attachments / Photo / Voice Upload","mobile:device","src/mobile/src/screens/DeviceUtilitiesScreen.tsx","Platform","Mobile","All users","DEMO-LIKE","DEMO","ADAPTER / FALLBACK BACKED","MISSING","Reusable media subsystem missing","REBUILD","HIGH","Wave 9","Media uploads are linked permissioned and retryable"
"M024","Settings / Sync Status / Language","mobile:sync","src/mobile/src/screens/SettingsSyncStatusScreen.tsx","Platform","Mobile","All users","DEMO-LIKE","DEMO","ADAPTER / FALLBACK BACKED","PARTIAL","Persistent offline queue conflict retry and device diagnostics incomplete","REBUILD","CRITICAL","Wave 9","Users see queued synced failed and retry states"
