"IssueId","Domain","Route","Screen","IssueClass","Severity","Status","FixApplied","RemainingDependency","Evidence"
"WS01-001","Platform","/platform/runtime-uat","Runtime UAT evidence console","Runtime/UAT truth","High","FIXED","Added a discoverable Runtime UAT page that runs live health, context, queue, dashboard, role, baseline, and publish-readiness probes with exportable evidence","Domain workflow-depth gaps remain tracked as partial role UAT outcomes","src/web/src/pages/RuntimeUatPage.tsx; src/web/src/runtime/ws01RuntimeProbe.ts"
"WS01-002","Platform","/api/system/info","Runtime system info","Content truth","Medium","FIXED","Replaced scaffold system-info wording with business-facing runtime availability copy","None","src/server/STS.Mfg.Api/Controllers/SystemController.cs"
"WS01-003","Platform","/platform/runtime-uat","Runtime UAT actions","Action truth","High","FIXED","Run checks, Export evidence, and Open screen actions are working or disabled with visible business reasons","Unsupported API-only probes intentionally do not navigate","src/web/src/pages/RuntimeUatPage.tsx"
"WS07-001","Integrations","/integrations/providers","Integration provider admin","Action and field truth","High","FIXED","Added provider list/search, connection context, centered create/edit workspace, governed provider selectors, live provider save wiring, connection credential-reference maintenance, and active credential rotation flow","Live delivery verification waits for real provider credentials","src/web/src/pages/WS07Pages.tsx"
"WS07-002","Integrations","/integrations/webhooks","Webhook subscriptions","Action and field truth","High","FIXED","Added webhook list/search, centered workspace, governed event/status selectors, live save, and live dispatch test action","Secret rotation remains disabled with a secret-store reason","src/web/src/pages/WS07Pages.tsx"
"WS07-003","Import/Export","/integrations/imports; /integrations/exports","Import and export jobs","Action upload and field truth","High","FIXED","Added governed queue/status workspaces and live queue/status actions; file upload/download actions are disabled with business-safe reasons","Binary scanner staging and signed storage URLs remain future workflows","src/web/src/pages/WS07Pages.tsx"
"WS07-004","Outbound Messaging","/integrations/delivery-logs","Delivery logs","Action and numeric truth","High","FIXED","Added governed message preview controls, live preview/queue actions, and numeric delivery attempt counts","Provider retry worker remains backend controlled","src/web/src/pages/WS07Pages.tsx"
"WS07-005","AI","/ai/assistant; /ai/translations","AI and translation assistants","AI data/action truth","High","FIXED","Added governed provider/model/intent/language selectors and live draft-only plan/draft actions","Operational AI write-back and translation publish remain disabled with review reasons","src/web/src/pages/WS07Pages.tsx"
"WS07-006","Reporting","/reports/catalog; /reports/parameters; /reports/saved-views","Report catalog parameters and saved views","Action and numeric/date truth","High","FIXED","Added governed report parameter controls, live report export queue, and numeric saved-view refresh cadence","Report layout authoring and saved-view persistence remain disabled with reasons","src/web/src/pages/WS07Pages.tsx"
"WS07-007","Mobile","src/mobile","Mobile execution shell","Revalidation","Medium","REVERIFIED","Mobile typecheck and action-flow coverage plan were rerun for offline queue/action truth coverage","Native camera barcode and voice capture remain later device-specific work","src/mobile/test/mobile-action-flow-coverage.json"
"WS08-001","Finance","/finance; /accounting; /gl; /ap; /ar","Finance / Accounting / GL / AP / AR","Scope exclusion","Critical","BLOCKED","WS08 was not implemented because AGENTS.md and architecture scope guardrails explicitly exclude full accounting, GL, AP, AR, taxation, bank reconciliation, and financial close from V1","Product owner must approve a scope change before implementation; no finance route/menu/action was introduced","AGENTS.md; docs/architecture/scope-guardrails.md; src/web/src/layout/WS08FinanceExclusion.test.tsx"
"WS09-001","Procurement","/procurement/requisitions","Purchase Requisition List / Detail","Action truth","High","FIXED","New PR draft, save requisition, and approve requisition are wired to centered workspace and live procurement APIs; review mode disables save with reason","RFQ conversion remains future scope","src/web/src/pages/ProcurementPages.tsx; src/web/src/pages/WS09ProcureToPayDeepening.test.tsx"
"WS09-002","Procurement","/procurement/purchase-orders","Purchase Order List / Detail","Action truth","High","FIXED","New PO draft, save purchase order, approve PO, and receive against PO are wired to centered workspaces and live procurement APIs; receiving now creates GRN, supplier invoice match, and AP/accounting bridge records","Live payment execution and statutory finance statements remain outside this closure slice","src/web/src/pages/ProcurementPages.tsx; src/web/src/pages/WS09ProcureToPayDeepening.test.tsx"
"WS09-003","Procurement","/procurement/subcontract-plan","Subcontract / Outside Processing Plan","Action truth","High","FIXED","New outside plan, save outside plan, approve outside plan, and receive back are wired to centered workspaces and live subcontract APIs; receive-back captures quantity, QC result, receipt status, and closes received/posted orders","Subcontract-specific material issue/return costing remains future finance depth","src/web/src/pages/ProcurementPages.tsx; src/web/src/pages/WS09ProcureToPayDeepening.test.tsx"
"P0P1-001","Inventory","/inventory/balances","Inventory stock balance / traceability","Action truth","High","FIXED","Open traceability and reserve stock actions are wired for selected live stock rows with governed stock context and numeric reserved quantity","Advanced allocation policy optimization remains planning depth","src/web/src/pages/InventoryPages.tsx; src/server/STS.Mfg.Infrastructure/Inventory/InventoryService.cs"
"P0P1-002","Quality","/quality/inspection","Quality inspection capture","Action truth","High","FIXED","New inspection opens centered workspace with governed QC/source/result controls, multiple parameter lines, numeric observations, live inspection save, and optional NCR creation","CoA template generation remains report/document depth","src/web/src/pages/QualityPages.tsx"
"P0P1-003","Dispatch","/dispatch/pack-lists; /dispatch/shipments","Dispatch pack and shipment closeout","Action truth","High","FIXED","Pack-list creation, shipment preparation, and shipment close are wired to live dispatch APIs with governed/numeric controls","Carrier statutory e-way credential verification waits for provider setup","src/web/src/pages/DispatchPages.tsx"
"P0P1-004","Sales / Planning","/sales/blanket-orders; /planning/forecast; /sales/available-to-promise","Blanket schedules / forecast lines / ATP commit","Action truth","High","FIXED","Blanket schedules and forecast lines support live add/remove/save; ATP computes live availability and commits promised-date updates","MRP exception ownership/archive/compare remains planning depth","src/web/src/pages/CommercialPlanningPages.tsx"
"WS09-004","Procurement","/procurement/rfqs; /procurement/supplier-quotes; /procurement/quote-comparison","RFQ / Supplier Quote / Quote Comparison","Missing module","High","BLOCKED","No speculative RFQ or quote-comparison module was introduced","Approved RFQ data model and workflow required","docs/workstream-progress/WS09/WS09_scope_matrix.csv"
"WS09-005","Procurement / Accounting","/procurement/purchase-invoices; /procurement/payment-schedules; /procurement/landed-cost","Purchase Invoice / Payment Schedule / Landed Cost","Scope exclusion","Critical","BLOCKED","No AP/accounting or valuation module was introduced","Product-owner scope change required after V1 accounting exclusion","docs/workstream-progress/WS09/WS09_scope_matrix.csv"
"WS10-001","Service / Warranty / AMC","/service/*","Service / Warranty / AMC","Scope exclusion","Critical","BLOCKED","WS10 was not implemented because architecture scope guardrails explicitly exclude field service, warranty, and customer support suite from V1; no service routes, screens, APIs, DB objects, or fake rows were introduced","Product owner must approve a scope change before implementation","docs/architecture/scope-guardrails.md; docs/workstream-progress/WS10/WS10_scope_matrix.csv; src/web/src/layout/WS10ServiceExclusion.test.tsx"
"WS11-001","Final Release","release-critical routes; /platform/runtime-uat","Final Release / Performance / Hardening","Release gate","High","PARTIAL","Added executable final-release navigation/runbook guard and browser performance smoke evidence for dashboards, lists, reports, Runtime UAT, provider health, and audit trail","Role-wise UAT and pilot readiness remain blocked by workflow depth, mobile live execution, provider rotation, backup/restore rehearsal, and production-like performance run","src/web/src/layout/WS11ReleaseHardening.test.tsx; scripts/ws11-release-smoke.mjs; docs/workstream-progress/WS11/WS11_scope_matrix.csv"
